city,attribute,r2_var,mae_var,rmse_var
Tianjin,PRA,0.7779475786154639,0.128,0.1491
Tianjin,Phys,0.7860249280347463,0.1765,0.2034
Tianjin,SIV,0.7931168845103452,0.1311,0.1689
Tianjin,TIV,0.886003631463048,0.0679,0.08410000000000001
Tianjin,Teach,0.7584760495485926,0.1508,0.1807
Tianjin,UR,0.8062729113701257,0.155,0.1884
Tianjin,URate,0.8052776149274088,0.1491,0.1818
Shijiazhuang,AW,0.7024534523643465,0.2354,0.3069
Shijiazhuang,Beds,0.7126449243379578,0.215,0.2564
Shijiazhuang,Bus,0.6968292995804188,0.22519999999999998,0.2758
Shijiazhuang,DEU,0.6805148091301713,0.2421,0.2956
Shijiazhuang,DWU,0.6787902804653538,0.2491,0.29
Shijiazhuang,ERV,0.8694645903227879,0.07200000000000001,0.0895
Shijiazhuang,ESV,0.6394645903227879,0.3002,0.3766
Shijiazhuang,GCBA,0.6491588773305398,0.2125,0.2477
Shijiazhuang,GDP,0.7555595033310015,0.1993,0.23670000000000002
Shijiazhuang,GSA,0.6719869998476712,0.2087,0.2723
Shijiazhuang,HETeach,0.6995839882466457,0.21059999999999998,0.2741
Shijiazhuang,LFE,0.6194645903227879,0.242,0.3141
Shijiazhuang,PD,0.6810356151976215,0.1857,0.235
Shijiazhuang,PIV,0.719108929663544,0.23800000000000002,0.2987
Shijiazhuang,PRA,0.6857640093292199,0.1916,0.2464
Shijiazhuang,Phys,0.685234004489988,0.1898,0.2372
Shijiazhuang,SIV,0.6984584993736861,0.2192,0.2569
Shijiazhuang,TIV,0.8694645903227879,0.0817,0.1069
Shijiazhuang,Teach,0.6936722073929665,0.1929,0.2601
Shijiazhuang,UR,0.7163512499746454,0.1761,0.2348
Shijiazhuang,URate,0.7213274052928627,0.18960000000000002,0.2361
Tangshan,AW,0.7681002224899428,0.13720000000000002,0.1727
Tangshan,Beds,0.7782386842320324,0.1466,0.18899999999999997
Tangshan,Bus,0.7428476104878884,0.21100000000000002,0.2523
Tangshan,DEU,0.7817797010456895,0.1575,0.18989999999999999
Tangshan,DWU,0.7266718600837158,0.1893,0.22649999999999998
Tangshan,ERV,0.8719177314922671,0.0859,0.10189999999999999
